target_class,start_frame,end_frame,update_id,donor_count,x,y,error_dx,error_dy,center_error,iou,valid,boundary
spacecraft,17,18,spacecraft:18,9,1496.5,1784.0,6.5,-10.5,12.349089035228468,0.5160067736472865,1,0
spacecraft,18,19,spacecraft:19,8,1493.5,1860.0,8.0,-12.25,14.630874888399532,0.4575582064362702,0,0
spacecraft,19,20,spacecraft:20,8,1490.0,1937.0,4.5,-13.0,13.756816492197604,0.502660406885759,1,0
spacecraft,20,21,spacecraft:21,9,1486.5,2015.5,2.5,-14.5,14.713938969562161,0.504544030084613,1,0
spacecraft,21,22,spacecraft:22,9,1483.0,2095.0,2.5,6.0,6.5,0.3129251700680272,0,1
ta-ta,0,1,ta-ta:1,10,1112.5,302.5,6.0,7.25,9.410765112359355,0.32491734295160807,0,0
ta-ta,1,2,ta-ta:2,9,1107.5,357.5,6.5,7.5,9.924716620639604,0.301909307875895,0,0
ta-ta,2,3,ta-ta:3,9,1102.0,413.0,6.0,6.5,8.845903006477066,0.35036496350364965,0,0
ta-ta,3,4,ta-ta:4,10,1097.0,469.5,7.5,6.5,9.924716620639604,0.32751091703056767,0,0
ta-ta,4,5,ta-ta:5,10,1091.0,526.5,6.75,5.75,8.8670739254841,0.3669620540786185,0,0
ta-ta,5,6,ta-ta:6,10,1085.5,585.0,7.75,6.25,9.956153875869939,0.3303370786516854,0,0
ta-ta,6,7,ta-ta:7,11,1079.5,643.5,7.0,5.5,8.902246907382429,0.37365269461077844,0,0
ta-ta,7,8,ta-ta:8,11,1074.5,703.0,8.0,4.5,9.17877987534291,0.38040712468193383,0,0
ta-ta,8,9,ta-ta:9,10,1068.5,763.5,8.75,0.25,8.753570700005799,0.5351963211885391,1,0
ta-ta,9,10,ta-ta:10,10,1062.5,825.0,9.0,1.0,9.055385138137417,0.5089820359281437,1,0
ta-ta,10,11,ta-ta:11,9,1056.0,887.0,8.5,2.0,8.73212459828649,0.4845360824742268,0,0
ta-ta,11,12,ta-ta:12,9,1050.0,950.0,8.0,2.5,8.381527307120106,0.47368421052631576,0,0
ta-ta,12,13,ta-ta:13,8,1044.0,1013.5,8.75,0.0,8.75,0.5705521472392638,1,0
ta-ta,13,14,ta-ta:14,8,1038.0,1078.5,9.25,0.5,9.263503656824453,0.5317969156125455,1,0
ta-ta,14,15,ta-ta:15,9,1031.5,1144.5,9.0,-0.5,9.013878188659973,0.5497896213183731,1,0
ta-ta,15,16,ta-ta:16,9,1025.0,1211.0,10.0,-1.5,10.111874208078342,0.465982905982906,0,0
ta-ta,16,17,ta-ta:17,9,1018.5,1279.0,10.0,-0.5,10.012492197250394,0.5146591310490992,1,0
ta-ta,17,18,ta-ta:18,9,1012.0,1347.0,10.5,-4.5,11.423659658795863,0.3304799755426475,0,0
ta-ta,18,19,ta-ta:19,8,1005.0,1417.0,11.5,-5.75,12.85739087062379,0.262842593979332,0,0
ta-ta,19,20,ta-ta:20,8,998.0,1487.5,7.5,-6.5,9.924716620639604,0.2849162011173184,0,0
ta-ta,20,21,ta-ta:21,9,991.5,1559.5,6.0,-8.0,10.0,0.2396694214876033,0,0
ta-ta,21,22,ta-ta:22,9,984.5,1632.5,6.0,-8.0,10.0,0.22807017543859648,0,0
ta-ta,22,23,ta-ta:23,8,977.5,1706.0,8.25,-7.75,11.319231422671772,0.20676834357690266,0,0
ta-ta,23,24,ta-ta:24,7,970.0,1781.0,5.5,-9.0,10.547511554864494,0.1782583284628872,0,0
tank,0,1,tank:1,10,911.0,6.5,7.0,26.25,27.16730571845504,0.02721563154221912,0,1
tank,1,2,tank:2,9,905.0,42.5,7.5,10.5,12.90348790056394,0.466473359913012,0,0
tank,2,3,tank:3,9,898.5,95.0,8.0,10.0,12.806248474865697,0.4718861209964413,0,0
tank,3,4,tank:4,10,891.5,148.0,8.0,9.5,12.419742348374221,0.4837163900967255,0,0
tank,4,5,tank:5,10,885.0,202.0,8.25,10.25,13.157697366940766,0.4654263969296819,0,0
tank,5,6,tank:6,10,878.0,256.0,8.75,9.25,12.732831578246843,0.47900032456994485,0,0
tank,6,7,tank:7,11,871.0,311.5,9.0,9.0,12.727922061357855,0.48148148148148145,0,0
tank,7,8,tank:8,11,864.0,367.5,9.0,8.5,12.379418403139947,0.49333333333333335,0,0
tank,8,9,tank:9,10,857.0,424.0,10.25,5.5,11.632390124131842,0.5318199373471227,1,0
tank,9,10,tank:10,10,849.5,481.0,9.5,4.5,10.51189802081432,0.572463768115942,1,0
tank,10,11,tank:11,9,842.5,539.5,10.0,6.0,11.661903789690601,0.5338717652876216,1,0
tank,11,12,tank:12,9,835.0,598.5,9.0,6.0,10.816653826391969,0.5568068896985757,1,0
tank,12,13,tank:13,8,828.0,658.5,10.75,6.0,12.31107225224513,0.5206665048936342,1,0
tank,13,14,tank:14,8,820.0,718.5,10.25,5.5,11.632390124131842,0.5440064360418343,1,0
tank,14,15,tank:15,9,812.5,780.0,10.5,4.0,11.236102527122116,0.5730980205103744,1,0
tank,15,16,tank:16,9,804.5,842.5,11.5,5.0,12.539936203984453,0.5331288343558283,1,0
tank,16,17,tank:17,9,796.5,905.5,11.0,4.0,11.704699910719626,0.5652039075825709,1,0
