model,horizon,any_boundary,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M3_ORACLE_REFRESHED_SHARED,3,0,175,175,1.0,34,0.19428571428571428,0.2771821531107687,0.23635471605543973,30.993951022739903,0.5794482586961145,1.5657142857142856,1.2114285714285715
M3_ORACLE_REFRESHED_SHARED,3,1,22,22,1.0,2,0.09090909090909091,0.22082713212805213,0.2124964759634981,43.023408444872274,0.6477788593939158,12.181818181818182,20.318181818181817
M3_ORACLE_REFRESHED_SHARED,4,0,162,162,1.0,8,0.04938271604938271,0.19057482361397793,0.12353556060174953,40.52117937691488,0.7611047705375849,2.067901234567901,1.5679012345679013
M3_ORACLE_REFRESHED_SHARED,4,1,20,20,1.0,0,0.0,0.15820753972371351,0.08482057425430586,57.11364153614481,0.8337089751429332,14.45,21.4
M3_ORACLE_REFRESHED_SHARED,5,0,150,150,1.0,0,0.0,0.13359136227297624,0.055803002857453765,49.0264594596228,0.9602654282789016,2.566666666666667,1.9
M3_ORACLE_REFRESHED_SHARED,5,1,18,18,1.0,0,0.0,0.13235474330616873,0.09323289942831546,67.1228979277237,0.9791308674201997,16.38888888888889,19.61111111111111
M3_ORACLE_REFRESHED_SHARED,6,0,138,138,1.0,0,0.0,0.09638179076095907,0.009455795019430537,57.74527357927177,1.1476565480115481,3.079710144927536,2.217391304347826
M3_ORACLE_REFRESHED_SHARED,6,1,17,17,1.0,0,0.0,0.1072926279091301,0.10627627406150895,78.25479218552688,1.1655037878758376,17.058823529411764,20.58823529411765
M3_ORACLE_REFRESHED_SHARED,7,0,126,126,1.0,0,0.0,0.07093070138012333,0.0,66.58390032093045,1.3220627067514368,3.5476190476190474,2.484126984126984
M3_ORACLE_REFRESHED_SHARED,7,1,16,16,1.0,0,0.0,0.08452973511055584,0.06530392329248143,89.00226398579815,1.347368317229866,17.5625,22.0
M3_ORACLE_REFRESHED_SHARED,8,0,114,114,1.0,0,0.0,0.05075276233366302,0.0,74.30145313252429,1.4958998190887258,3.973684210526316,2.7280701754385963
M3_ORACLE_REFRESHED_SHARED,8,1,15,15,1.0,0,0.0,0.0636460295302855,0.05533138024432038,100.50435313955312,1.458821313951363,16.933333333333334,23.4
M3_ORACLE_REFRESHED_SHARED,9,0,104,104,1.0,0,0.0,0.03492260726780258,0.0,82.79200865714839,1.6619664505674443,4.480769230769231,3.0961538461538463
M3_ORACLE_REFRESHED_SHARED,9,1,13,13,1.0,0,0.0,0.04123166925988307,0.02649222157130769,111.83525830434694,1.7171556758076563,15.615384615384615,23.46153846153846
M3_ORACLE_REFRESHED_SHARED,10,0,94,94,1.0,0,0.0,0.023064627016634694,0.0,91.4665856560799,1.830698776831987,4.968085106382978,3.404255319148936
M3_ORACLE_REFRESHED_SHARED,10,1,12,12,1.0,0,0.0,0.018911469694684813,0.0,125.49304700156324,1.7100883828380617,15.5,15.5
M3_ORACLE_REFRESHED_SHARED,11,0,84,84,1.0,0,0.0,0.014124629223067595,0.0,99.01025737515445,1.9678918846216038,5.4523809523809526,3.738095238095238
