model,horizon,target_class,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
S_FIXED,13,large_tower,5,5,1.0,0,0.0,0.24956313616182274,0.2643267392995253,33.44571974902563,31.88801097772722,0.531466849628787,8.4,7.6
S_FIXED,13,small_launcher,11,11,1.0,0,0.0,0.22784264084724473,0.1964592423553135,16.046701746206494,17.37465229050353,0.7333482670790518,2.0,0.5454545454545454
S_FIXED,13,small_tower,6,6,1.0,0,0.0,0.17296119483113906,0.17241285054930233,36.64486839039445,37.01725005803932,0.6809915629006302,6.333333333333333,8.499999999999963
S_FIXED,13,spacecraft,9,9,1.0,0,0.0,0.23316624357102952,0.2579126935907154,26.28851753941834,25.270208538636282,0.5376640114603465,4.888888888888889,5.111111111111111
S_FIXED,13,ta-ta,11,11,1.0,0,0.0,0.038426295168969025,0.003718947791373352,29.276332418245158,30.818860664691346,1.9394569148572307,3.727272727272727,3.0
S_FIXED,13,tank,11,11,1.0,0,0.0,0.07667011953135315,0.026244044723225172,46.55794061108984,51.42131726447228,1.071277443009839,4.636363636363637,5.0
S_FIXED,14,helicopter,4,4,1.0,0,0.0,0.4189074065761538,0.42612936798961987,31.73580812516872,34.30633208869237,0.38811936632199395,12.75,22.75
S_FIXED,14,jet_plane,7,7,1.0,0,0.0,0.30351128910548847,0.2996767528714742,41.43115519441226,42.30008766352302,0.5222233044879385,7.714285714285714,9.428571428571429
S_FIXED,14,large_launcher,10,10,1.0,2,0.2,0.4297547832350288,0.4224047232838529,55.735557204394844,55.14265981218552,0.4878933474802819,22.3,5.8
S_FIXED,14,large_tower,4,4,1.0,0,0.0,0.21904718141393098,0.232276813525529,36.288378560759746,34.73366687319398,0.588661151877163,9.0,8.25
S_FIXED,14,small_launcher,10,10,1.0,0,0.0,0.20781172234124773,0.18557253101796956,16.804601941753507,16.69615239731893,0.7109112517288751,2.1,0.6
